FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E01027045,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01006735,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01006821,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027000,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01027030,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01028391,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01028310,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01006653,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01006654,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01006627,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01002384,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01006698,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01006845,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01006692,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01006206,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01002320,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01001014,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01001013,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01001710,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01001773,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01000860,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01000830,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01006481,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01002276,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01006218,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01006328,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01000815,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01000750,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01006448,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01006273,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01001799,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01006289,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01006451,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01001869,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01002288,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01001919,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01006274,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01001984,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01002123,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01001895,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01001730,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01002087,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01006255,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01001751,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01011030,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01011049,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01001942,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01011541,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01010920,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01011353,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01011348,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01010940,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01001951,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01002121,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01011671,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01001932,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01011527,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01011566,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01001938,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01011170,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01011068,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01011177,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01011175,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01002299,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01006229,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01002150,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01002187,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01011359,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01011666,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01011228,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01011301,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01011636,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01011633,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01011649,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01031714,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01031580,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01023322,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01023081,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01031610,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01031575,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01031719,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01031613,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01023216,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01023296,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01015667,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01023298,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01023098,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01023066,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01023221,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01023024,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01033559,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01033697,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01031791,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01031758,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01031882,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01031871,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01033565,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01031796,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01032107,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01031713,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01032060,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01032236,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01032147,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01031792,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01031619,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01016327,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01016320,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01016609,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01016483,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01017238,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01017479,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01016556,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01017255,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01023229,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01017165,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01017132,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01017114,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01017192,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01016423,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01016948,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01016301,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01016264,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01023134,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01016200,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01016274,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01015709,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01016111,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01016107,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01016151,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01023147,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01017324,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01017358,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01023184,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01023175,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01016172,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029687,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01029594,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
